text,created_at
"RT @isym_hzm_bot: 諫山先生11年と7ヶ月お疲れ様でした💐
素晴らしい作品をありがとうございました
これからもずっと進撃と諫山先生のファンです！
(すみません今日だけは私もイラストを上げさせてください…！)
#ありがとう諫山先生 #ありがとう進撃の巨人 #Tha…",Fri Apr 09 20:38:38 +0000 2021
"RT @momoreku: ハンジさん載せた😄

【ハイレグ】 💓進撃の巨人🌸超大型巨尻ハンジさん💓 - 🍑ももれくParty🍑 (桃色れく)の投稿｜ファンティア[Fantia] https://t.co/uKGs5cTlNB #Fantia #ファンティア https://t…",Fri Apr 09 20:40:35 +0000 2021
"RT @ggrasperZX: 自分は70年代後半のファン活動の時から「怪獣総進撃」が一番！と言っていた。
初代よりも？と諸先輩ファンや仲間に呆れられても、書籍や評論でどう評価されようが関係なかった。
理論や知識では敵わないけど「好きな物は好き」の熱意だけで通してきた。(≧▽≦…",Tue Apr 20 13:18:33 +0000 2021
巨人ファンの恥 https://t.co/i3X2mFZYrA,Sat Apr 10 15:41:08 +0000 2021
"RT @anime_shingeki: 進撃の巨人×森永パキシエルキャンペーン
4月上旬より進撃の巨人コラボパッケージが発売！

アイスの棒に巨人が出たらオリジナルQUOカードが必ずもらえる
「当たり調査兵団キャンペーン」実施中！！

応募締切は6/30まで！

#shinge…",Mon Apr 05 01:02:29 +0000 2021
"RT @andesuo_: もうクラスやばい
去年の方良かった((
巨人ファン居ないかなー。
語りたいなぁぁぁ",Thu Apr 08 13:21:11 +0000 2021
"読売巨人軍に爆破予告でホークスファンの男を逮捕（TBS系（JNN））
#Yahooニュース

いくら日本シリーズで巨人が弱すぎるからって爆破予告なんかしちゃダメだぞ☆ https://t.co/tlNQ1THyhu",Thu Apr 15 10:37:16 +0000 2021
"RT @jumandekirukana: #10万円でできるかな
4/12(月)3時間SP！

宮田さんだけでなく
キスマイメンバー内にも
ファンが多い進撃の巨人から
#梶裕貴 さん
#石川由依 さん

宮田さんの師匠
#浪川大輔 さん

宮田さんがプライベートで
ライブを見に…",Sat Apr 10 07:18:50 +0000 2021
RT @uma_Reiner: 天皇賞（春）×進撃の巨人がコラボ　調査兵団が阪神競馬場へ　渋谷すばる新曲書き下ろしSP動画も | ORICON NEWS https://t.co/EZZhQHAjII https://t.co/2ndvu8bZhh,Sun Apr 18 23:48:34 +0000 2021
RT @uma_Reiner: 天皇賞（春）×進撃の巨人がコラボ　調査兵団が阪神競馬場へ　渋谷すばる新曲書き下ろしSP動画も | ORICON NEWS https://t.co/EZZhQHAjII https://t.co/2ndvu8bZhh,Mon Apr 19 01:45:53 +0000 2021
RT @mainichijpnews: 「巨人に不満」　東京ドーム爆破予告容疑でソフトバンクファン逮捕 https://t.co/KZjvjBGRxc,Thu Apr 15 10:39:39 +0000 2021
"RT @shingeki__kun: 日本のアニメの歴史を変えたスゴいアニメ

アクション作画

｢進撃の巨人｣  伝説の1カット18秒 https://t.co/ikjJq9D31l",Wed Apr 14 13:08:31 +0000 2021
調査兵団に入って・・・とにかく巨人をぶっ殺したいです,Mon Apr 19 20:04:11 +0000 2021
"@nirunirutamago フォロー外から失礼します。巨人愛はどうでもいいんですが、リクエストとかは両チームの権利ですからそこを画面で❎はダメですよね。
阪神ファンですがそこは逆の立場でも❎はしないです。",Tue Apr 20 11:22:18 +0000 2021
"RT @IUWAYASUSI: 【拡散希望】ゴッドレス・ワールズ・ファンタジア 第4章 光の討魔団と破壊の巨人
本日更新予定！　大地の賢者リノラースVS悪夢龍、激化！！　勝つのは果たしてどちらか？！
https://t.co/y14xU2eeHe",Mon Apr 19 08:08:13 +0000 2021
"戦争や虐殺、紛争のない、または国内で問題にならないレベルの日本はやっぱりどこか平和ボケしていて
「戦え」が身近にない人間の読む進撃と
日々の生活の中で命を奪われる可能性の高い人間が読む進撃って
やっぱり違うんだと思う",Sun Apr 11 09:07:07 +0000 2021
RT @uma_Reiner: 天皇賞（春）×進撃の巨人がコラボ　調査兵団が阪神競馬場へ　渋谷すばる新曲書き下ろしSP動画も | ORICON NEWS https://t.co/EZZhQHAjII https://t.co/2ndvu8bZhh,Mon Apr 19 08:43:46 +0000 2021
"RT @isym_hzm_bot: ＞「アニメの歴史を変えたと思うスゴいアニメは？」というアンケートを実施し、「進撃の巨人」「呪術廻戦」「ドラえもん」など厳選されたアニメ14作品を紹介しながら、“歴史を変えた”ポイントを解明

今、アニメでしょ！プロが選んだ歴史を変えたアニメ1…",Tue Apr 13 03:47:25 +0000 2021
"RT @oricon_anime_: 【📺今夜20:00】林修の今でしょ！講座

『進撃の巨人』""伝説の18秒""『呪術廻戦』カメラワークの秘密『プリキュア』原画マンの超絶技巧…アニメの歴史変えた作品紹介

＼✍🏻スゴ腕クリエイター陣集結！／
キスマイ・宮田俊哉「創造神の集まり」…",Tue Apr 13 03:49:29 +0000 2021
"RT @livedoornews: 【お疲れ様でした】『進撃の巨人』完結、連載11年半に幕
https://t.co/hl2cFt0X0d

2009年9月の連載スタートから約11年半(11年7ヶ月)の歴史に幕を下ろした。コミックス最終34巻は特装版含め6月9日に発売される。…",Thu Apr 08 17:38:26 +0000 2021
"RT @YahooNewsTopics: 【進撃の巨人が完結 連載11年半】
https://t.co/NQgogh0oHi

人気漫画「進撃の巨人」が、9日発売の「別冊少年マガジン」で最終回（139話）を迎え、連載スタートから約11年半の歴史に幕を下ろした。編集部は「応援して…",Thu Apr 08 17:38:27 +0000 2021
進撃の巨人の自由の翼のマント羽織って外出るか😁,Sun Apr 18 00:48:46 +0000 2021
"RT @shingeki__kun: 日本のアニメの歴史を変えたスゴいアニメ

アクション作画

｢進撃の巨人｣  伝説の1カット18秒 https://t.co/ikjJq9D31l",Wed Apr 14 13:42:24 +0000 2021
RT @uma_Reiner: 天皇賞（春）×進撃の巨人がコラボ　調査兵団が阪神競馬場へ　渋谷すばる新曲書き下ろしSP動画も | ORICON NEWS https://t.co/EZZhQHAjII https://t.co/2ndvu8bZhh,Sun Apr 18 14:55:06 +0000 2021
"RT @MorinagaIce: 🗿#進撃の巨人 ×#パキシエル がコラボ🗿
4月上旬より進撃の巨人コラボパッケージが発売！

⚔「当たり調査兵団キャンペーン」実施中⚔
アイスの棒に巨人が出たらオリジナルQUOカードが必ずもらえる!
キミも調査兵団の一員になろう！

応募締切は…",Tue Apr 06 21:05:44 +0000 2021
"阪神は、編成がすごく良くなったと思う。
巨人から阪神に移籍した山本も、守備がうまいと阪神ファンから信頼されているし。もちろん、ドラフトは佐藤輝明、中野、伊藤で大当たりだし。
 #辛坊治郎ズーム",Tue Apr 20 08:17:09 +0000 2021
RT @heboya: あともう一つ、これかねてからずっと思ってるんだけれども、この進撃の巨人最終回における虐殺の扱いへの温度差を含めて、「推し（自分の好きなキャラ）に対する感情移入だけで物語全体を読み解こうとする読書、鑑賞方法は、本当に危うい」ということの表れでもあると思う。,Wed Apr 14 06:38:29 +0000 2021
"@yohkomaya 国歌斉唱の時に「進撃敬礼」をする強者もたまにいます。
しかも真剣な顔で😆
この人、調査兵団なんだなあと思って見てました。",Fri Apr 09 13:25:02 +0000 2021
RT @uma_Reiner: 天皇賞（春）×進撃の巨人がコラボ　調査兵団が阪神競馬場へ　渋谷すばる新曲書き下ろしSP動画も | ORICON NEWS https://t.co/EZZhQHAjII https://t.co/2ndvu8bZhh,Tue Apr 20 11:49:29 +0000 2021
"RT @treevillage_ani: ✨告知✨
【#進撃の巨人】
／
ポップアップショップ＆コラボカフェ開催決定‼
『開催期間　2021年4月23日(金)～6月4日(金)』
＼
ツリービレッジ限定、調査兵団による前夜祭の新規デザインのオリジナルグッズの販売や、カフェメニュー…",Fri Apr 09 06:17:09 +0000 2021
RT @hkSKp: 進撃は幼馴染トリオが主役で大筋として始祖ユミルの解放に至るまで、が本編なんだと思うんだけど、兵長とエルヴィン及び調査兵団の物語が別軸で並走して大きく太く描かれてたのがとても贅沢でありがたいなあって思うんですよね,Fri Apr 09 06:17:11 +0000 2021
"RT @anime_shingeki: 進撃の巨人×森永パキシエルキャンペーン
4月上旬より進撃の巨人コラボパッケージが発売！

アイスの棒に巨人が出たらオリジナルQUOカードが必ずもらえる
「当たり調査兵団キャンペーン」実施中！！

応募締切は6/30まで！

#shinge…",Sat Apr 10 13:24:21 +0000 2021
"RT @livedoornews: 【9日完結】『進撃の巨人』担当編集者が語るヒットの理由「巻を追うごとに面白さの質が違ってくる」
https://t.co/AnskSmKdvh

初期はおぞましさやインパクト、その後はサスペンスや政治などの要素もあり、世の中のことをすべて描い…",Wed Apr 07 01:59:33 +0000 2021
"RT @poro586: リヴァイとエルヴィン少年 #進撃の巨人

小さな先生の歴史の授業 https://t.co/LkOt2cKcD5",Sun Apr 04 07:10:02 +0000 2021
"RT @me_Tokyo_Osaka: いかなる時代も自由を求めて進み続けた進撃の巨人と、妥協なく進化を続けるメルセデス。
諦めず前へ進む両者のコラボが実現！
メルセデス ミー 東京 (六本木)/@ Shinagawa Prince Hotel/大阪ではメルセデス・ベンツの人気…",Sun Apr 04 07:11:14 +0000 2021
"RT @livedoornews: 3000RT：【お疲れ様でした】『進撃の巨人』完結、連載11年半に幕
https://t.co/hl2cFt0X0d

2009年9月の連載スタートから約11年半(11年7ヶ月)の歴史に幕を下ろした。コミックス最終34巻は特装版含め6月9日に…",Fri Apr 09 06:08:23 +0000 2021
"損得以外で争うのとか、阪神ファンと巨人ファンがチーム愛を競うようなもんやぞ。
答えなんて無いわ。",Mon Apr 12 13:31:25 +0000 2021
"RT @shingeki__kun: 日本のアニメの歴史を変えたスゴいアニメ

アクション作画

｢進撃の巨人｣  伝説の1カット18秒 https://t.co/ikjJq9D31l",Wed Apr 14 13:20:34 +0000 2021
